R90: 90 -- North: 0, East: 0, South: 0, West: 0
F88: 180 -- North: 0, East: 0, South: 0, West: 0
R180: 180 -- North: 0, East: 0, South: 88, West: 0
F98: 0 -- North: 0, East: 0, South: 88, West: 0
S5: 0 -- North: 10, East: 0, South: 0, West: 0
F14: 0 -- North: 0, East: 0, South: 5, West: 0
S4: 0 -- North: 9, East: 0, South: 0, West: 0
L270: 0 -- North: 0, East: 0, South: 5, West: 0
S1: 90 -- North: 0, East: 0, South: 5, West: 0
R90: 90 -- North: 0, East: 0, South: 6, West: 0
F34: 180 -- North: 0, East: 0, South: 6, West: 0
R90: 180 -- North: 0, East: 0, South: 40, West: 0
F96: 270 -- North: 0, East: 0, South: 40, West: 0
N1: 270 -- North: 0, East: 0, South: 40, West: 96
E5: 270 -- North: 39, East: 0, South: 0, West: 96
F94: 270 -- North: 39, East: 91, South: 0, West: 0
R90: 270 -- North: 39, East: 0, South: 0, West: 3
N1: 0 -- North: 39, East: 0, South: 0, West: 3
E1: 0 -- North: 40, East: 0, South: 0, West: 3
R90: 0 -- North: 40, East: 2, South: 0, West: 0
S5: 90 -- North: 40, East: 2, South: 0, West: 0
F59: 90 -- North: 0, East: 2, South: 35, West: 0
S2: 90 -- North: 0, East: 61, South: 35, West: 0
L90: 90 -- North: 0, East: 61, South: 37, West: 0
E2: 0 -- North: 0, East: 61, South: 37, West: 0
L90: 0 -- North: 0, East: 63, South: 37, West: 0
S1: 270 -- North: 0, East: 63, South: 37, West: 0
W3: 270 -- North: 0, East: 63, South: 38, West: 0
N2: 270 -- North: 0, East: 0, South: 38, West: 60
L90: 270 -- North: 36, East: 0, South: 0, West: 60
S1: 180 -- North: 36, East: 0, South: 0, West: 60
F32: 180 -- North: 0, East: 0, South: 35, West: 60
F92: 180 -- North: 0, East: 0, South: 67, West: 60
N1: 180 -- North: 0, East: 0, South: 159, West: 60
F10: 180 -- North: 158, East: 0, South: 0, West: 60
E2: 180 -- North: 0, East: 0, South: 148, West: 60
F92: 180 -- North: 0, East: 58, South: 148, West: 0
N1: 180 -- North: 0, East: 58, South: 240, West: 0
E4: 180 -- North: 239, East: 58, South: 0, West: 0
F68: 180 -- North: 239, East: 62, South: 0, West: 0
W1: 180 -- North: 0, East: 62, South: 171, West: 0
R90: 180 -- North: 0, East: 0, South: 171, West: 61
F53: 270 -- North: 0, East: 0, South: 171, West: 61
N3: 270 -- North: 0, East: 0, South: 171, West: 114
F29: 270 -- North: 168, East: 0, South: 0, West: 114
S1: 270 -- North: 168, East: 0, South: 0, West: 143
